YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2022 08 01 05 10 187  4.8  5.6 99.00 99.00 99.00 999 1017.3  25.8  25.5  21.5 99.0 99.00 
2022 08 01 05 20 182  4.7  5.8 99.00 99.00 99.00 999 1017.3  25.8  25.5  21.6 99.0 99.00 
2022 08 01 05 30 187  4.9  5.7 99.00 99.00 99.00 999 1017.3  25.8  25.5  21.5 99.0 99.00 
2022 08 01 05 40 185  5.0  6.1  0.56 10.00  4.23 147 1017.3  25.8  25.5  21.9 99.0 99.00 
2022 08 01 05 50 187  5.4  6.6 99.00 99.00 99.00 999 1017.3  25.8  25.5  22.0 99.0 99.00 
2022 08 01 06 00 186  5.3  6.5 99.00 99.00 99.00 999 1017.2  25.8  25.5  22.0 99.0 99.00 
2022 08 01 06 10 187  5.2  6.3 99.00 99.00 99.00 999 1017.0  25.8  25.5  22.1 99.0 99.00 
2022 08 01 06 20 185  5.1  6.5 99.00 99.00 99.00 999 1017.0  25.8  25.5  22.3 99.0 99.00 
2022 08 01 06 30 179  5.2  6.5 99.00 99.00 99.00 999 1016.8  25.8  25.5  22.5 99.0 99.00 
2022 08 01 06 40 179  5.1  6.0  0.61  7.14  4.18 161 1016.8  25.8  25.5  22.7 99.0 99.00 
2022 08 01 06 50 180  5.5  6.8 99.00 99.00 99.00 999 1016.8  25.8  25.5  22.7 99.0 99.00 
2022 08 01 07 00 182  4.9  5.9 99.00 99.00 99.00 999 1016.8  25.8  25.5  22.9 99.0 99.00 
2022 08 01 07 10 181  4.7  5.9 99.00 99.00 99.00 999 1016.6  25.7  25.5  22.7 99.0 99.00 
2022 08 01 07 20 177  4.6  5.9 99.00 99.00 99.00 999 1016.6  25.8  25.5  23.0 99.0 99.00 
2022 08 01 07 30 173  4.6  5.8 99.00 99.00 99.00 999 1016.5  25.8  25.4  23.0 99.0 99.00 
2022 08 01 07 40 167  5.0  6.8  0.64 10.00  4.13 143 1016.2  25.8  25.4  22.8 99.0 99.00 
2022 08 01 07 50 171  4.9  6.1 99.00 99.00 99.00 999 1016.2  25.9  25.4  22.4 99.0 99.00 
2022 08 01 08 00 174  4.4  5.3 99.00 99.00 99.00 999 1016.0  25.9  25.4  22.5 99.0 99.00 
2022 08 01 08 10 172  4.0  5.0 99.00 99.00 99.00 999 1016.0  25.9  25.4  22.7 99.0 99.00 
2022 08 01 08 20 168  4.1  5.1 99.00 99.00 99.00 999 1015.7  25.9  25.4  22.8 99.0 99.00 
2022 08 01 08 30 159  4.3  5.3 99.00 99.00 99.00 999 1015.5  25.8  25.4  22.8 99.0 99.00 
2022 08 01 08 40 162  4.3  5.3  0.62  9.09  4.17 129 1015.5  25.8  25.4  22.9 99.0 99.00 
2022 08 01 08 50 158  3.6  4.5 99.00 99.00 99.00 999 1015.4  25.8  25.4  23.0 99.0 99.00 
2022 08 01 09 00 155  3.7  4.6 99.00 99.00 99.00 999 1015.4  25.8  25.4  23.0 99.0 99.00 
2022 08 01 09 10 150  3.7  4.6 99.00 99.00 99.00 999 1015.2  25.8  25.4  23.1 99.0 99.00 
2022 08 01 09 20 136  3.9  4.6 99.00 99.00 99.00 999 1015.2  25.8  25.4  23.2 99.0 99.00 
2022 08 01 09 30 137  4.3  5.0 99.00 99.00 99.00 999 1015.1  25.8  25.4  23.2 99.0 99.00 
2022 08 01 09 40 140  4.6  5.5  0.64  8.33  4.08 153 1015.1  25.8  25.4  23.2 99.0 99.00 
2022 08 01 09 50 146  4.4  5.4 99.00 99.00 99.00 999 1015.2  25.9  25.4  23.2 99.0 99.00 
2022 08 01 10 00 164  6.7 10.8 99.00 99.00 99.00 999 1014.8  25.2  25.4  22.7 99.0 99.00 
2022 08 01 10 10 172  9.7 11.8 99.00 99.00 99.00 999 1014.6  23.4  25.4  21.5 99.0 99.00 
2022 08 01 10 20 171  8.9 12.0 99.00 99.00 99.00 999 1014.8  22.9  25.4  21.0 99.0 99.00 
2022 08 01 10 30 159  8.6 11.5 99.00 99.00 99.00 999 1014.5  22.9  25.4  20.6 99.0 99.00 
2022 08 01 10 40 146  8.2 10.6  0.81  4.00  3.76 195 1014.4  22.6  25.4  20.3 99.0 99.00 
2022 08 01 10 50 147  7.5  9.3 99.00 99.00 99.00 999 1014.6  22.4  25.4  20.1 99.0 99.00 
2022 08 01 11 00 138  7.9  9.4 99.00 99.00 99.00 999 1014.4  22.6  25.4  20.4 99.0 99.00 
2022 08 01 11 10 136  8.2  9.6 99.00 99.00 99.00 999 1014.1  23.1 999.0  20.6 99.0 99.00 
2022 08 01 11 20 132  8.5 10.3 99.00 99.00 99.00 999 1013.8  23.2  25.4  21.4 99.0 99.00 
2022 08 01 11 30 129  8.7 10.5 99.00 99.00 99.00 999 1013.9  23.3  25.4  22.0 99.0 99.00 
2022 08 01 11 40 138  8.8 10.6  0.95  4.35  3.95 181 1013.8  23.6  25.4  22.3 99.0 99.00 
2022 08 01 11 50 140  8.5 10.9 99.00 99.00 99.00 999 1014.2  23.7  25.4  22.5 99.0 99.00 
2022 08 01 12 00 140  7.7 10.1 99.00 99.00 99.00 999 1014.1  23.7  25.4  22.5 99.0 99.00 
2022 08 01 12 10 142  6.3  7.7 99.00 99.00 99.00 999 1013.8  23.8  25.4  22.7 99.0 99.00 
2022 08 01 12 20 145  6.2  7.8 99.00 99.00 99.00 999 1013.5  24.0  25.4  22.9 99.0 99.00 
2022 08 01 12 30 137  5.7  6.8 99.00 99.00 99.00 999 1013.5  24.0  25.4  23.0 99.0 99.00 
2022 08 01 12 40 142  5.6  6.5  1.04  4.55  4.04 187 1013.5  24.2  25.4  23.4 99.0 99.00 
2022 08 01 12 50 165  5.1  6.2 99.00 99.00 99.00 999 1013.3  24.4  25.4  23.5 99.0 99.00 
2022 08 01 13 00 168  4.8  5.9 99.00 99.00 99.00 999 1013.4  24.5  25.4  23.5 99.0 99.00 
2022 08 01 13 10 180  4.5  5.9 99.00 99.00 99.00 999 1013.4  24.6  25.4  23.3 99.0 99.00 
2022 08 01 13 20 185  3.6  5.0 99.00 99.00 99.00 999 1013.3  24.9  25.5  23.4 99.0 99.00 
2022 08 01 13 30 212  4.0  5.0 99.00 99.00 99.00 999 1013.2  25.0  25.5  22.7 99.0 99.00 
2022 08 01 13 40 222  4.5  6.0  0.94  5.00  4.08 189 1013.1  25.2  25.5  22.6 99.0 99.00 
2022 08 01 13 50 229  5.3  6.5 99.00 99.00 99.00 999 1013.0  25.1  25.5  22.5 99.0 99.00 
2022 08 01 14 00 226  5.9  7.1 99.00 99.00 99.00 999 1013.0  25.0  25.4  22.6 99.0 99.00 
2022 08 01 14 10 220  5.5  6.5 99.00 99.00 99.00 999 1012.8  25.0  25.5  22.7 99.0 99.00 
2022 08 01 14 20 227  5.3  6.2 99.00 99.00 99.00 999 1012.7  25.0  25.5  22.6 99.0 99.00 
2022 08 01 14 30 236  5.2  6.1 99.00 99.00 99.00 999 1012.7  25.0  25.5  22.5 99.0 99.00 
2022 08 01 14 40 237  5.3  6.4  0.98  5.00  4.61 180 1012.7  25.0  25.5  22.5 99.0 99.00 
2022 08 01 14 50 237  5.0  6.1 99.00 99.00 99.00 999 1012.7  25.1  25.6  22.5 99.0 99.00 
2022 08 01 15 00 230  5.0  6.1 99.00 99.00 99.00 999 1012.8  25.1  25.6  22.4 99.0 99.00 
2022 08 01 15 10 225  5.4  6.5 99.00 99.00 99.00 999 1012.8  25.1  25.6  22.5 99.0 99.00 
2022 08 01 15 20 228  5.5  6.6 99.00 99.00 99.00 999 1012.7  25.1  25.6  22.6 99.0 99.00 
2022 08 01 15 30 234  5.9  6.9 99.00 99.00 99.00 999 1012.6  25.0  25.6  22.5 99.0 99.00 
2022 08 01 15 40 233  6.0  7.0  0.99  5.56  4.53 181 1012.5  25.0  25.6  22.6 99.0 99.00 
2022 08 01 15 50 231  6.0  7.3 99.00 99.00 99.00 999 1012.5  25.0  25.6  22.7 99.0 99.00 
2022 08 01 16 00 234  5.7  7.1 99.00 99.00 99.00 999 1012.4  25.0  25.6  22.7 99.0 99.00 
2022 08 01 16 10 237  6.0  7.2 99.00 99.00 99.00 999 1012.5  25.0  25.6  22.8 99.0 99.00 
2022 08 01 16 20 246  6.1  7.4 99.00 99.00 99.00 999 1012.5  25.0  25.6  22.7 99.0 99.00 
2022 08 01 16 30 244  6.2  7.3 99.00 99.00 99.00 999 1012.4  25.0  25.6  22.8 99.0 99.00 
2022 08 01 16 40 241  6.6  8.0  0.99  5.26  4.45 175 1012.5  24.9  25.6  22.7 99.0 99.00 
2022 08 01 16 50 242  6.6  7.6 99.00 99.00 99.00 999 1012.4  24.9  25.7  22.7 99.0 99.00 
2022 08 01 17 00 243  6.5  7.6 99.00 99.00 99.00 999 1012.3  24.9  25.7  22.7 99.0 99.00 
2022 08 01 17 10 242  6.1  7.1 99.00 99.00 99.00 999 1012.2  24.9  25.6  22.6 99.0 99.00 
2022 08 01 17 20 242  6.1  7.5 99.00 99.00 99.00 999 1012.2  24.9  25.7  22.7 99.0 99.00 
2022 08 01 17 30 241  6.5  7.6 99.00 99.00 99.00 999 1012.1  25.0  25.7  22.9 99.0 99.00 
2022 08 01 17 40 245  6.5  7.7  0.92  5.56  4.47 168 1012.0  25.0  25.7  22.9 99.0 99.00 
2022 08 01 17 50 250  6.2  7.4 99.00 99.00 99.00 999 1011.9  24.9  25.7  22.8 99.0 99.00 
2022 08 01 18 00 252  6.4  7.9 99.00 99.00 99.00 999 1012.0  24.9  25.7  22.9 99.0 99.00 
2022 08 01 18 10 254  7.0  8.1 99.00 99.00 99.00 999 1012.0  24.9  25.6  22.8 99.0 99.00 
2022 08 01 18 20 258  6.9  8.1 99.00 99.00 99.00 999 1012.0  24.9  25.7  22.9 99.0 99.00 
2022 08 01 18 30 257  6.3  7.4 99.00 99.00 99.00 999 1011.9  24.9  25.7  22.9 99.0 99.00 
2022 08 01 18 40 259  6.8  8.4  0.89  5.56  4.49 174 1011.9  24.9  25.7  22.9 99.0 99.00 
2022 08 01 18 50 265  7.4  8.4 99.00 99.00 99.00 999 1011.8  24.8  25.7  22.7 99.0 99.00 
2022 08 01 19 00 271  7.5  8.9 99.00 99.00 99.00 999 1011.9  24.8  25.7  22.7 99.0 99.00 
2022 08 01 19 10 266  7.0  8.5 99.00 99.00 99.00 999 1011.9  24.8  25.6  22.6 99.0 99.00 
2022 08 01 19 20 273  6.7  8.0 99.00 99.00 99.00 999 1011.9  24.7  25.6  22.6 99.0 99.00 
2022 08 01 19 30 272  6.1  7.4 99.00 99.00 99.00 999 1011.9  24.7  25.6  22.7 99.0 99.00 
2022 08 01 19 40 272  6.3  7.8  0.87  5.00  4.29 184 1011.9  24.6  25.6  22.6 99.0 99.00 
2022 08 01 19 50 285  5.8  7.0 99.00 99.00 99.00 999 1011.9  24.6  25.6  22.8 99.0 99.00 
2022 08 01 20 00 287  6.2  7.7 99.00 99.00 99.00 999 1011.9  24.5  25.6  22.8 99.0 99.00 
2022 08 01 20 10 286  6.3  7.5 99.00 99.00 99.00 999 1011.9  24.5  25.6  22.7 99.0 99.00 
2022 08 01 20 20 293  6.2  7.4 99.00 99.00 99.00 999 1011.9  24.4  25.6  22.6 99.0 99.00 
2022 08 01 20 30 299  6.6  8.0 99.00 99.00 99.00 999 1011.9  24.3  25.6  22.5 99.0 99.00 
2022 08 01 20 40 294  6.4  7.6  0.73  5.88  4.16 171 1011.9  24.3  25.6  22.3 99.0 99.00 
2022 08 01 20 50 307  5.9  6.9 99.00 99.00 99.00 999 1011.8  24.3  25.5  22.4 99.0 99.00 
2022 08 01 21 00 310  5.5  6.6 99.00 99.00 99.00 999 1011.6  24.1  25.5  22.1 99.0 99.00 
2022 08 01 21 10 310  4.9  6.0 99.00 99.00 99.00 999 1011.6  24.1  25.6  22.0 99.0 99.00 
2022 08 01 21 20 317  4.6  5.8 99.00 99.00 99.00 999 1011.7  24.0  25.5  22.1 99.0 99.00 
2022 08 01 21 30 316  4.7  5.8 99.00 99.00 99.00 999 1011.6  23.9  25.5  22.0 99.0 99.00 
2022 08 01 21 40 328  4.6  5.9  0.73  5.88  4.39 173 1011.6  23.9  25.5  22.1 99.0 99.00 
2022 08 01 21 50 324  4.5  5.4 99.00 99.00 99.00 999 1011.6  23.7  25.5  22.1 99.0 99.00 
2022 08 01 22 00 322  5.0  5.9 99.00 99.00 99.00 999 1011.6  23.7  25.5  22.0 99.0 99.00 
2022 08 01 22 10 323  5.1  6.6 99.00 99.00 99.00 999 1011.6  23.6  25.5  21.7 99.0 99.00 
2022 08 01 22 20 327  5.6  7.0 99.00 99.00 99.00 999 1011.6  23.6  25.5  21.8 99.0 99.00 
2022 08 01 22 30 322  5.4  6.9 99.00 99.00 99.00 999 1011.5  23.5  25.5  21.5 99.0 99.00 
2022 08 01 22 40 323  5.2  7.0  0.73  5.00  4.25 181 1011.4  23.6  25.4  21.6 99.0 99.00 
2022 08 01 22 50 333  5.3  6.4 99.00 99.00 99.00 999 1011.5  23.4  25.4  21.6 99.0 99.00 
2022 08 01 23 00 329  5.1  6.5 99.00 99.00 99.00 999 1011.5  23.4  25.4  21.7 99.0 99.00 
2022 08 01 23 10 333  5.2  6.4 99.00 99.00 99.00 999 1011.4  23.3  25.4  21.5 99.0 99.00 
2022 08 01 23 20 332  5.0  6.3 99.00 99.00 99.00 999 1011.4  23.3  25.4  21.5 99.0 99.00 
2022 08 01 23 30 324  5.4  6.6 99.00 99.00 99.00 999 1011.6  23.3  25.4  21.4 99.0 99.00 
2022 08 01 23 40 326  5.1  6.3  0.76  5.26  4.45 165 1011.6  23.2  25.4  21.4 99.0 99.00 
2022 08 01 23 50 333  4.3  5.6 99.00 99.00 99.00 999 1011.6  23.1  25.4  21.2 99.0 99.00 
2022 08 02 00 00 345  4.0  5.0 99.00 99.00 99.00 999 1011.6  23.1  25.4  21.2 99.0 99.00 
2022 08 02 00 10 342  3.8  5.1 99.00 99.00 99.00 999 1011.6  23.0  25.4  20.9 99.0 99.00 
2022 08 02 00 20 340  3.8  4.8 99.00 99.00 99.00 999 1011.7  23.2  25.4  21.1 99.0 99.00 
2022 08 02 00 30 326  3.4  4.6 99.00 99.00 99.00 999 1011.8  23.2  25.4  21.0 99.0 99.00 
2022 08 02 00 40 323  2.7  3.7  0.75  5.26  4.29 181 1011.9  23.1  25.4  20.9 99.0 99.00 
2022 08 02 00 50 323  2.6  3.8 99.00 99.00 99.00 999 1012.0  23.1  25.4  20.9 99.0 99.00 
2022 08 02 01 00 316  2.5  3.3 99.00 99.00 99.00 999 1012.1  23.1  25.3  21.0 99.0 99.00 
2022 08 02 01 10 318  2.0  3.3 99.00 99.00 99.00 999 1011.9  23.0  25.4  21.0 99.0 99.00 
2022 08 02 01 20 319  1.6  2.9 99.00 99.00 99.00 999 1011.7  22.9  25.4  20.9 99.0 99.00 
2022 08 02 01 30 324  1.4  2.2 99.00 99.00 99.00 999 1011.8  22.9  25.4  20.9 99.0 99.00 
2022 08 02 01 40 322  1.7  2.6  0.76  5.00  4.47 185 1011.9  22.9  25.4  20.9 99.0 99.00 
2022 08 02 01 50 309  1.3  2.3 99.00 99.00 99.00 999 1011.9  22.9  25.4  20.9 99.0 99.00 
2022 08 02 02 00 299  1.6  2.5 99.00 99.00 99.00 999 1012.1  22.9  25.4  20.9 99.0 99.00 
2022 08 02 02 10 278  1.8  2.4 99.00 99.00 99.00 999 1012.1  23.0  25.4  21.1 99.0 99.00 
2022 08 02 02 20 283  2.0  2.8 99.00 99.00 99.00 999 1012.1  23.0  25.4  21.1 99.0 99.00 
2022 08 02 02 30 273  1.9  3.0 99.00 99.00 99.00 999 1012.2  23.0  25.4  21.1 99.0 99.00 
2022 08 02 02 40 280  2.0  3.0  0.81  5.26  4.48 183 1012.1  23.1  25.4  21.3 99.0 99.00 
2022 08 02 02 50 272  2.5  3.4 99.00 99.00 99.00 999 1012.1  23.2  25.4  21.4 99.0 99.00 
2022 08 02 03 00 252  2.2  3.3 99.00 99.00 99.00 999 1012.0  23.2  25.4  21.3 99.0 99.00 
2022 08 02 03 10 238  2.3  3.0 99.00 99.00 99.00 999 1012.0  23.2  25.4  21.3 99.0 99.00 
2022 08 02 03 20 234  2.6  3.5 99.00 99.00 99.00 999 1011.8  23.3  25.4  21.5 99.0 99.00 
2022 08 02 03 30 236  3.0  3.9 99.00 99.00 99.00 999 1011.7  23.4  25.4  21.7 99.0 99.00 
2022 08 02 03 40 232  3.7  4.6  0.81  5.00  4.54 193 1011.6  23.4  25.4  21.6 99.0 99.00 
2022 08 02 03 50 234  4.6  5.8 99.00 99.00 99.00 999 1011.5  23.6  25.4  21.5 99.0 99.00 
2022 08 02 04 00 230  4.6  5.7 99.00 99.00 99.00 999 1011.5  23.6  25.4  21.6 99.0 99.00 
2022 08 02 04 10 228  4.2  5.3 99.00 99.00 99.00 999 1011.4  23.6  25.4  21.7 99.0 99.00 
2022 08 02 04 20 234  3.8  4.7 99.00 99.00 99.00 999 1011.3  23.6  25.3  21.7 99.0 99.00 
2022 08 02 04 30 238  3.8  4.7 99.00 99.00 99.00 999 1011.2  23.6  25.4  21.6 99.0 99.00 
2022 08 02 04 40 235  4.7  6.0  0.76  5.00  4.49 186 1011.2  23.7  25.4  21.7 99.0 99.00 
2022 08 02 04 50 236  4.3  5.1 99.00 99.00 99.00 999 1011.4  23.8  25.4  21.7 99.0 99.00 
2022 08 02 05 00 233  4.7  6.1 99.00 99.00 99.00 999 1011.3  23.9  25.4  21.8 99.0 99.00 
2022 08 02 05 10 240  5.3  6.5 99.00 99.00 99.00 999 1011.3  23.9  25.4  21.6 99.0 99.00 
2022 08 02 05 20 245  5.3  6.6 99.00 99.00 99.00 999 1011.2  24.0  25.4  21.5 99.0 99.00 
2022 08 02 05 30 246  5.3  6.7 99.00 99.00 99.00 999 1011.3  24.0  25.4  21.6 99.0 99.00 
2022 08 02 05 40 244  5.5  6.8  0.74  5.26  4.28 203 1011.2  24.1  25.4  21.6 99.0 99.00 
2022 08 02 05 50 244  5.1  6.0 99.00 99.00 99.00 999 1010.9  24.1  25.4  21.6 99.0 99.00 
2022 08 02 06 00 242  4.8  6.0 99.00 99.00 99.00 999 1011.1  24.0  25.4  21.5 99.0 99.00 
2022 08 02 06 10 240  4.9  5.8 99.00 99.00 99.00 999 1011.0  24.1  25.4  21.8 99.0 99.00 
2022 08 02 06 20 231  4.5  5.7 99.00 99.00 99.00 999 1011.0  24.1  25.4  21.8 99.0 99.00 
2022 08 02 06 30 232  5.0  6.2 99.00 99.00 99.00 999 1011.0  24.2  25.4  22.0 99.0 99.00 
2022 08 02 06 40 232  5.4  6.6  0.78  5.88  4.42 158 1010.9  24.2  25.4  21.9 99.0 99.00 
2022 08 02 06 50 232  5.7  7.0 99.00 99.00 99.00 999 1011.0  24.2  25.4  22.0 99.0 99.00 
2022 08 02 07 00 227  5.5  6.6 99.00 99.00 99.00 999 1010.9  24.3  25.4  22.2 99.0 99.00 
2022 08 02 07 10 227  5.3  6.5 99.00 99.00 99.00 999 1010.8  24.3 999.0  22.2 99.0 99.00 
2022 08 02 07 20 229  5.3  6.5 99.00 99.00 99.00 999 1010.8  24.4  25.4  22.3 99.0 99.00 
2022 08 02 07 30 228  6.0  6.9 99.00 99.00 99.00 999 1010.9  24.4  25.4  22.3 99.0 99.00 
2022 08 02 07 40 234  5.6  6.5  0.72  5.56  4.13 174 1011.0  24.5  25.4  22.3 99.0 99.00 
2022 08 02 07 50 233  5.7  6.6 99.00 99.00 99.00 999 1011.0  24.6  25.4  22.4 99.0 99.00 
2022 08 02 08 00 227  5.8  6.8 99.00 99.00 99.00 999 1011.0  24.6  25.4  22.4 99.0 99.00 
2022 08 02 08 10 224  5.7  6.8 99.00 99.00 99.00 999 1010.8  24.7  25.4  22.5 99.0 99.00 
2022 08 02 08 20 224  5.7  6.8 99.00 99.00 99.00 999 1010.8  24.7  25.4  22.6 99.0 99.00 
2022 08 02 08 30 224  5.7  7.1 99.00 99.00 99.00 999 1010.8  24.8  25.3  22.7 99.0 99.00 
2022 08 02 08 40 224  5.8  7.0  0.78  4.76  4.23 179 1010.8  24.8  25.3  22.6 99.0 99.00 
2022 08 02 08 50 222  5.7  6.9 99.00 99.00 99.00 999 1010.5  24.9  25.3  22.6 99.0 99.00 
2022 08 02 09 00 227  6.0  7.7 99.00 99.00 99.00 999 1010.7  24.9  25.3  22.6 99.0 99.00 
2022 08 02 09 10 227  6.5  7.7 99.00 99.00 99.00 999 1010.6  25.0  25.3  22.6 99.0 99.00 
2022 08 02 09 20 227  6.5  7.7 99.00 99.00 99.00 999 1010.6  25.0  25.3  22.5 99.0 99.00 
2022 08 02 09 30 224  6.3  7.4 99.00 99.00 99.00 999 1010.7  25.1  25.3  22.5 99.0 99.00 
2022 08 02 09 40 226  6.3  7.4  0.82  5.88  4.30 178 1010.6  25.1  25.3  22.4 99.0 99.00 
2022 08 02 09 50 226  6.0  7.0 99.00 99.00 99.00 999 1010.6  25.1  25.3  22.4 99.0 99.00 
2022 08 02 10 00 225  5.6  6.8 99.00 99.00 99.00 999 1010.5  25.2  25.3  22.6 99.0 99.00 
2022 08 02 10 10 223  5.5  6.7 99.00 99.00 99.00 999 1010.5  25.2  25.3  22.6 99.0 99.00 
2022 08 02 10 20 221  5.4  6.7 99.00 99.00 99.00 999 1010.5  25.2  25.3  22.7 99.0 99.00 
2022 08 02 10 30 216  5.5  6.4 99.00 99.00 99.00 999 1010.6  25.2  25.3  22.8 99.0 99.00 
2022 08 02 10 40 213  5.6  6.9  0.88  5.88  4.44 182 1010.7  25.2  25.3  22.9 99.0 99.00 
2022 08 02 10 50 210  6.0  7.4 99.00 99.00 99.00 999 1010.8  25.2  25.3  23.0 99.0 99.00 
2022 08 02 11 00 211  6.4  7.6 99.00 99.00 99.00 999 1010.8  25.2  25.3  23.0 99.0 99.00 
2022 08 02 11 10 209  6.4  7.5 99.00 99.00 99.00 999 1010.7  25.3  25.3  23.4 99.0 99.00 
2022 08 02 11 20 212  6.3  7.6 99.00 99.00 99.00 999 1010.6  25.3  25.3  23.5 99.0 99.00 
2022 08 02 11 30 212  6.2  7.5 99.00 99.00 99.00 999 1010.7  25.3  25.3  23.6 99.0 99.00 
2022 08 02 11 40 213  5.8  6.9  0.84  5.56  4.33 182 1010.7  25.3  25.3  23.7 99.0 99.00 
2022 08 02 11 50 214  5.6  6.7 99.00 99.00 99.00 999 1010.8  25.3  25.3  23.8 99.0 99.00 
2022 08 02 12 00 215  5.6  6.6 99.00 99.00 99.00 999 1010.8  25.3  25.3  23.8 99.0 99.00 
2022 08 02 12 10 218  5.3  6.5 99.00 99.00 99.00 999 1010.8  25.3  25.3  23.9 99.0 99.00 
2022 08 02 12 20 218  5.3  6.5 99.00 99.00 99.00 999 1010.7  25.4  25.3  24.0 99.0 99.00 
2022 08 02 12 30 215  5.2  6.3 99.00 99.00 99.00 999 1010.6  25.4  25.3  24.0 99.0 99.00 
2022 08 02 12 40 214  5.2  6.2  0.79  5.26  4.30 191 1010.7  25.4  25.3  24.1 99.0 99.00 
2022 08 02 12 50 213  5.0  6.5 99.00 99.00 99.00 999 1010.7  25.4  25.3  24.2 99.0 99.00 
2022 08 02 13 00 214  5.3  6.4 99.00 99.00 99.00 999 1010.8  25.4  25.3  24.4 99.0 99.00 
2022 08 02 13 10 214  5.4  6.6 99.00 99.00 99.00 999 1010.8  25.4  25.3  24.5 99.0 99.00 
2022 08 02 13 20 217  5.3  6.6 99.00 99.00 99.00 999 1010.7  25.5  25.3  24.6 99.0 99.00 
2022 08 02 13 30 219  5.3  6.3 99.00 99.00 99.00 999 1010.6  25.5  25.3  24.7 99.0 99.00 
2022 08 02 13 40 219  5.4  6.6  0.80  5.56  4.53 191 1010.7  25.5  25.3  24.7 99.0 99.00 
